SBU,Year,Country,Sold-to Code (Number version),# Products,Net Sales (EUR),Base Quantity (Volume-tons)
APF,2018,Argentina,4757615,1,10288.83,0.3492
APF,2018,Argentina,4794229,2,4535.6,0.2544
APF,2018,Argentina,4794230,4,40976.65,1.854145
APF,2018,Argentina,4794335,7,40310.67,1.291832
APF,2018,Argentina,4816309,3,-9254.88,-0.53
APF,2018,Argentina,4824938,2,0,0
APF,2018,Argentina,4858473,7,14544.09,0.8268
APF,2018,Argentina,4894257,7,3010.24,0.04
APF,2018,Argentina,4915935,4,16662.48,2.042
APF,2018,Argentina,4916343,3,7546.86,1
APF,2018,Argentina,4956297,13,108769.49,5.513
APF,2018,Argentina,4963392,5,3956.88,0.168
APF,2018,Argentina,4978458,11,5012.01,0.3488
APF,2018,Argentina,4996875,8,29572.24,1.587
APF,2018,Argentina,4997078,5,54612.36,6.753
APF,2018,Argentina,5039082,1,34438.03,1.575
APF,2018,Argentina,5043334,31,276688.43,13.964785
APF,2018,Argentina,5067139,10,22707.43,1.06
APF,2018,Argentina,5198949,16,77233.26,4.48
APF,2018,Argentina,5198993,5,91.36,0.05
APF,2018,Argentina,5208189,1,8213.96,0.378
APF,2018,Argentina,5208739,1,18563.6,0.882
APF,2018,Argentina,5211107,4,28935.16,1.26
APF,2018,Argentina,5211331,2,26846.57,1.155
APF,2018,Argentina,5211472,3,188692.94,20.008
APF,2018,Argentina,5217214,8,66790.3,3.18
APF,2018,Argentina,5280867,3,18311,1.06
APF,2018,Argentina,5290679,5,15438.62,0.8056
APF,2018,Argentina,5312539,6,53915.14,12.866
APF,2018,Argentina,5312584,4,7625.7,0.8184
APF,2018,Argentina,5328877,7,24547.53,1.218715
APF,2018,Argentina,5345600,6,22286.03,1.06
APF,2018,Argentina,5359699,4,15882.27,0.7366
APF,2018,Argentina,5376986,5,2405.37,0.1272
APF,2018,Argentina,5380463,1,12264.97,0.301559
APF,2018,Argentina,5386962,4,10473.51,0.53
APF,2018,Argentina,5387065,1,42467.35,2.12
APF,2018,Argentina,5398353,4,5632.58,0.3518
APF,2018,Argentina,5431175,5,3559.11,0.9196
APF,2018,Argentina,5465548,1,9048.7,0.399
APF,2018,Argentina,0,101,0,0
APF,2018,Bolivia,1079491,32,7510425.43,550.7688
APF,2018,Bolivia,0,27,0,0
APF,2018,Brazil,10391,9,0,0
APF,2018,Brazil,47171,13,0,0
APF,2018,Brazil,399997,4,-76483.88,0
APF,2018,Brazil,442626,151,0,0
APF,2018,Brazil,519642,4,24358.23,0.66216
APF,2018,Brazil,520013,33,323727.66,46.0892
APF,2018,Brazil,520019,10,28083.01,6.69236
APF,2018,Brazil,520588,22,141040.06,12.626
APF,2018,Brazil,520597,4,24107.95,1.34904
APF,2018,Brazil,522632,27,31859.36,5.0697
APF,2018,Brazil,522804,34,787513.65,73.33556
APF,2018,Brazil,523858,1,8404.46,3.424
APF,2018,Brazil,527479,7,408942.49,12.13728
APF,2018,Brazil,531768,38,713543.47,42.8554
APF,2018,Brazil,533019,18,569430.05,43.922
APF,2018,Brazil,542115,41,950804.47,94.72518
APF,2018,Brazil,544967,45,394683.83,32.36952
APF,2018,Brazil,552483,13,-569.24,0
APF,2018,Brazil,558150,16,137436.64,17.8794
APF,2018,Brazil,560462,17,3044313.83,106.93784
APF,2018,Brazil,561187,10,51086.08,1.6224
APF,2018,Brazil,567278,3,414476.56,32.86
APF,2018,Brazil,569234,36,1009859.68,79.47504
APF,2018,Brazil,570534,21,356872.17,29.87
APF,2018,Brazil,574660,12,184017.54,7.2792
APF,2018,Brazil,575108,24,44204.82,2.2105
APF,2018,Brazil,575580,10,81260,4.87556
APF,2018,Brazil,579830,27,1104962.56,99.468
APF,2018,Brazil,580347,11,1643.06,0
APF,2018,Brazil,581931,9,10860.77,0.588
APF,2018,Brazil,582753,30,2188322.62,194.152
APF,2018,Brazil,582764,29,621933.18,43.6054
APF,2018,Brazil,582937,29,1292729.65,69.26776
APF,2018,Brazil,583285,23,-720.18,0
APF,2018,Brazil,584048,19,-5621.51,0.1128
APF,2018,Brazil,584294,29,860108.54,59.313
APF,2018,Brazil,585734,22,-2218.74,0
APF,2018,Brazil,585739,32,613693.55,47.9979
APF,2018,Brazil,586778,2,-3145.84,0
APF,2018,Brazil,588042,5,-651.14,0
APF,2018,Brazil,588043,20,120674.31,15.038
APF,2018,Brazil,588809,32,1050344.92,90.4498
APF,2018,Brazil,588994,7,395390.03,47.71052
APF,2018,Brazil,589980,4,119.34,0
APF,2018,Brazil,589981,5,119929.26,4.1196
APF,2018,Brazil,589988,13,4164.06,0
APF,2018,Brazil,594044,3,69330.86,7.78804
APF,2018,Brazil,594052,9,109142.89,4.5646
APF,2018,Brazil,596316,4,12855.48,0.9414
APF,2018,Brazil,597604,16,31584.86,4.70228
APF,2018,Brazil,597615,17,356103.06,15.21072
APF,2018,Brazil,599979,13,3054.99,0.725
APF,2018,Brazil,600368,6,83325.16,3.67016
APF,2018,Brazil,601118,4,12671.93,5.29252
APF,2018,Brazil,601133,12,2183.74,0
APF,2018,Brazil,602944,12,116757.11,8.5452
APF,2018,Brazil,603920,1,729.2,0.255
APF,2018,Brazil,623373,9,21740.67,1.48756
APF,2018,Brazil,705090,3,4496.59,0.315
APF,2018,Brazil,750144,45,417819.77,29.58418
APF,2018,Brazil,751890,1,18078.07,0.784
APF,2018,Brazil,753146,29,69878.29,8.19778
APF,2018,Brazil,756118,55,1348326.26,85.86353
APF,2018,Brazil,768248,7,608.21,0
APF,2018,Brazil,857665,20,70512.79,5.78924
APF,2018,Brazil,858315,36,1232120.41,131.79276
APF,2018,Brazil,877630,2,76741.46,2.2116
APF,2018,Brazil,877921,11,-233.8,0
APF,2018,Brazil,879404,16,119473.92,4.353
APF,2018,Brazil,890207,21,11631.14,0.0114
APF,2018,Brazil,895360,4,51.54,0
APF,2018,Brazil,895409,4,51.54,0
APF,2018,Brazil,895410,4,51.54,0
APF,2018,Brazil,895423,4,51.54,0
APF,2018,Brazil,895424,4,51.54,0
APF,2018,Brazil,895432,4,51.54,0
APF,2018,Brazil,898650,3,262892.37,7.5114
